time,neuron_id,neuron_pop_id
0.0003,2250,1
0.0538,5400,1
0.1252,45,1
0.1462,4860,1
0.1486,855,1
0.1751,4275,1
0.1812,6075,1
0.1856,5040,1
0.1895,4095,1
0.1953,3060,1
0.21,4320,1
0.2368,6255,1
0.2544,6750,1
0.2595,3780,1
0.2662,2475,1
0.2846,6615,1
0.2877,6975,1
0.2932,6885,1
0.2944,630,1
0.3158,315,1
0.3189,3465,1
0.3327,6705,1
0.3619,4770,1
0.3944,5760,1
0.397,2790,1
0.3996,4500,1
0.4829,2520,1
0.4886,225,1
0.4931,2385,1
0.5065,2610,1
0.5123,5940,1
0.5234,4005,1
0.5566,945,1
0.5716,6840,1
0.5895,5130,1
0.5944,6075,1
0.6066,1350,1
0.6099,1800,1
0.6108,6570,1
0.6364,1890,1
0.6405,1575,1
0.6522,4185,1
0.6716,2475,1
0.6771,7155,1
0.6849,4095,1
0.6954,405,1
0.7265,810,1
0.7549,2565,1
0.7809,6075,1
0.783,2250,1
0.7845,2025,1
0.8219,4095,1
0.8271,6030,1
0.8554,4275,1
0.8726,3060,1
0.9068,2565,1
0.9177,3285,1
0.9519,6570,1
0.9548,3285,1
0.9594,2250,1
0.975,900,1
0.9893,1350,1
0.9935,6255,1
1.4134,3645,1
1.4236,6345,1
1.4244,135,1
1.4369,5850,1
1.4403,2970,1
1.5069,6525,1
1.5163,4500,1
1.6052,3060,1
1.6421,810,1
1.6432,4995,1
1.6574,0,1
1.678,6615,1
1.7316,4860,1
1.8275,5490,1
1.8421,2970,1
1.8462,2745,1
1.8591,5895,1
1.8624,2295,1
1.8718,5175,1
1.8778,2610,1
1.889,6660,1
1.892,45,1
1.8922,1485,1
1.9685,4500,1
2.0821,585,1
2.1044,5670,1
2.1048,4545,1
2.1074,1440,1
2.1108,360,1
2.1461,2070,1
2.1503,5625,1
2.1522,2880,1
2.1574,1035,1
2.1575,3240,1
2.1602,2610,1
2.1648,6435,1
2.1685,4455,1
2.1722,5265,1
2.1921,6840,1
2.2076,3555,1
2.3336,2835,1
2.3506,6345,1
2.394,4725,1
2.3996,6750,1
2.4184,945,1
2.4469,3555,1
2.4517,6390,1
2.5294,2925,1
2.5334,6705,1
2.5679,6075,1
2.5753,450,1
2.5759,2970,1
2.5848,3330,1
2.5976,3150,1
2.6137,2295,1
2.6606,6030,1
2.6653,7155,1
2.806,5670,1
2.8068,4635,1
2.843,1080,1
2.8569,630,1
2.8741,2520,1
2.8788,5220,1
3.0291,2070,1
3.0318,810,1
3.0771,6345,1
3.1125,3195,1
3.1288,5895,1
3.305,225,1
3.321,2610,1
3.3778,7020,1
3.4194,720,1
3.452,1260,1
3.4558,2565,1
3.4759,1890,1
3.4828,6705,1
3.5125,720,1
3.5829,2385,1
3.5977,5760,1
3.63,5940,1
3.6336,3015,1
3.6767,4410,1
3.8064,3465,1
3.834,3015,1
3.9237,675,1
3.9379,6615,1
3.9533,2835,1
3.9675,3960,1
3.9691,3870,1
3.9812,675,1